Bezirksregierung,Kreis,Schulform,Schulnummer,Schulname,Sozialindex
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131209,"Witten, GG Bruch",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131210,"Witten, GG Crengeldanzschule",6
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131222,"Witten, GG Rüdinghauser",2
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131234,"Witten, GG Dorfschule",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131246,"Witten, GG Hellwegschule",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131260,"Witten, GG Hüllbergschule",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131271,"Witten, GG Erlenschule",6
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131283,"Witten, GG Harkort",2
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131295,"Witten, GG Baedeker",6
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131301,"Witten, GG Borbach",1
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131313,"Witten, GG Gerichtsschule",9
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131325,"Witten, GG Bredde",8
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131337,"Witten, GG Brenschen",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132652,"Breckerfeld, GG Ostring",1
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132706,"Ennepetal, GG Büttenberg",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132718,"Ennepetal, GG (Verb.) Wassermaus",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132720,"Ennepetal, GG Altenvoerde",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132731,"Ennepetal, GG Voerde",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132755,"Ennepetal, KG Kirchstr.",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132779,"Gevelsberg, GG Pestalozzischule",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132780,"Gevelsberg, GG Am Strückerberg",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132792,"Gevelsberg, GG Schnellmark",5
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132810,"Gevelsberg, GG Silschede",1
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132822,"Hattingen, GG Bredenscheid",2
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132834,"Hattingen, GG Oberwinzerfeld",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132860,"Hattingen, KG Weiltor St.Franzsikus",5
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132883,"Hattingen, GG Heggerfeld",8
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132895,"Hattingen, GG Bruchfeld",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132901,"Hattingen, GG Holthausen",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132937,"Hattingen,GG Niederwenigern Nikol.Groß",2
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132950,"Hattingen, GG Alt-Blankenstein",1
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132962,"Hattingen, GG Erik-Nölting",6
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132974,"Witten, GG Buchholzer Schule",1
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132986,"Witten, GG Vormholzer Schule",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133000,"Witten, GG Herbeder",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133024,"Herdecke, GG Hugo Knauer",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133036,"Herdecke, GG Schraberg",1
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133048,"Herdecke, GG Robert-Bonnermann-Schule",5
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133050,"Schwelm, GG Nordstadt",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133073,"Schwelm, GG Engelbertstr.",6
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133085,"Schwelm, GG Ländchenweg",5
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133097,"Schwelm, KG St.Marien",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133115,"Sprockhövel, GG Hobeuken",1
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133127,"Sprockhövel, GG Haßlinghausen",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133139,"Sprockhövel, GG Börgersbruch",2
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133140,"Sprockhövel, GG Gennebreck-Herzkamp",1
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133152,"Wetter, KG St. Rafael",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133164,"Wetter, GG Bergstr.",6
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133176,"Wetter, GG Grundschöttel",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133190,"Wetter, GG (Verb.) Elbschebach",2
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,133206,"Wetter, GG Volmarstein",2
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,184100,"Witten, GG Pferdebach",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,186557,"Gevelsberg, GG Vogelsang",8
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,191723,"Herdecke, GG Werner Richard",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Hauptschule,148805,"Witten, GH Freiligrath",9
BR Arnsberg,Ennepe-Ruhr-Kreis,Hauptschule,149408,"Gevelsberg, GH Gevelsberg",8
BR Arnsberg,Ennepe-Ruhr-Kreis,Hauptschule,149548,"Sprockhövel, GH Mathilde-Anneke-Schule",7
BR Arnsberg,Ennepe-Ruhr-Kreis,Realschule,163090,"Witten, RS Otto-Schott",5
BR Arnsberg,Ennepe-Ruhr-Kreis,Realschule,163107,"Witten, RS Adolf-Reichwein-Schule",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Realschule,163314,"Gevelsberg, RS Alte Geer",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Realschule,163326,"Hattingen, RS Grünstraße",5
BR Arnsberg,Ennepe-Ruhr-Kreis,Realschule,163340,"Schwelm, RS Dietrich-Bonhoeffer",5
BR Arnsberg,Ennepe-Ruhr-Kreis,Realschule,185863,"Herdecke, RS Am Bleichstein",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Realschule,194141,"Witten, RS Helene-Lohmann-Realschule",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Sekundarschule,197026,"Wetter, SK Schule am See",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Sekundarschule,198043,"Ennepetal, SK Amselweg",5
BR Arnsberg,Ennepe-Ruhr-Kreis,Gesamtschule,100153,"Witten, GE Otto-Schott-Gesamtschule",5
BR Arnsberg,Ennepe-Ruhr-Kreis,Gesamtschule,188141,"Witten, GE Holzkamp",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Gesamtschule,188153,"Witten, GE Hardenstein",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Gesamtschule,189558,"Sprockhövel, GE Wilhelm-Kraft",4
BR Arnsberg,Ennepe-Ruhr-Kreis,Gesamtschule,190007,"Hattingen, GE Marxstr.",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,169717,"Witten, Gym Schiller",2
BR Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,169729,"Witten, Gym Ruhr",2
BR Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,169730,"Witten, Gym Albert-Martmöller",2
BR Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,169950,"Ennepetal, Gym Reichenbach",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,169961,"Gevelsberg, Gym Gevelsberg",2
BR Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,169973,"Hattingen, Gym Schulzentrum Holthausen",2
BR Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,169985,"Hattingen, Gym Waldstraße",3
BR Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,169997,"Herdecke, Gym Friedrich-Harkort-Schule",1
BR Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,170008,"Schwelm, Gym Märkisches",3
