Bezirksregierung,Kreis,Schulform,Schulnummer,Schulname,Index_25_26,Index_24_25,Difference,City
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131209,"Witten, GG Bruch",4,4,0,Witten
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131210,"Witten, GG Crengeldanzschule",6,6,0,Witten
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131222,"Witten, GG Rüdinghauser",2,2,0,Witten
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131234,"Witten, GG Dorfschule",3,3,0,Witten
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131246,"Witten, GG Hellwegschule",4,4,0,Witten
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131260,"Witten, GG Hüllbergschule",3,3,0,Witten
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131271,"Witten, GG Erlenschule",6,6,0,Witten
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131283,"Witten, GG Harkort",2,2,0,Witten
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131295,"Witten, GG Baedeker",6,6,0,Witten
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131301,"Witten, GG Borbach",1,1,0,Witten
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131313,"Witten, GG Gerichtsschule",9,9,0,Witten
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131325,"Witten, GG Bredde",8,8,0,Witten
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,131337,"Witten, GG Brenschen",3,3,0,Witten
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132822,"Hattingen, GG Bredenscheid",2,2,0,Hattingen
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132834,"Hattingen, GG Oberwinzerfeld",4,4,0,Hattingen
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132860,"Hattingen, KG Weiltor St.Franzsikus",5,5,0,Hattingen
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132883,"Hattingen, GG Heggerfeld",8,8,0,Hattingen
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132895,"Hattingen, GG Bruchfeld",4,4,0,Hattingen
BR Arnsberg,Ennepe-Ruhr-Kreis,Grundschule,132901,"Hattingen, GG Holthausen",4,4,0,Hattingen
